iter	Logloss
0	0.6353489712
1	0.5871227596
2	0.5450695956
3	0.5120197977
4	0.4784820191
5	0.4504597155
6	0.4305107475
7	0.4091977881
8	0.390235987
9	0.3737485762
10	0.3591196051
11	0.346800593
12	0.3360788798
13	0.3264789884
14	0.3176512318
15	0.3099533957
16	0.303117439
17	0.2966631926
18	0.2924291346
19	0.2897720671
20	0.2851093118
21	0.2812366119
22	0.2782064038
23	0.2753290727
24	0.2723932784
25	0.269841947
26	0.2675913829
27	0.2654048345
28	0.2633562422
29	0.2612757921
30	0.2595562583
31	0.2591045649
32	0.2573742407
33	0.2561421212
34	0.2548096801
35	0.2536503658
36	0.2521944336
37	0.2513837925
38	0.2505335708
39	0.2493228499
40	0.2485211287
41	0.2481319344
42	0.247517231
43	0.2467761154
44	0.2465606035
45	0.2457244599
46	0.2453347431
47	0.2448187045
48	0.2439938589
49	0.2437590167
50	0.2435676923
51	0.2429226866
52	0.2422254473
53	0.2417342655
54	0.241430018
55	0.2408572507
56	0.2407436469
57	0.2406013029
58	0.2402268762
59	0.2398503156
60	0.2396199061
61	0.2394292978
62	0.2391694537
63	0.2389857249
64	0.2386153777
65	0.23840355
66	0.2382403186
67	0.2380494146
68	0.2375840437
69	0.237497011
70	0.2371888612
71	0.2371240994
72	0.2370085166
73	0.2368352495
74	0.2366070098
75	0.2364617704
76	0.2364413021
77	0.2362477677
78	0.2362032494
79	0.2359559575
80	0.2358599261
81	0.235676449
82	0.2356572535
83	0.2355926193
84	0.235474732
85	0.2351045135
86	0.2349830661
87	0.234825467
88	0.234449828
89	0.234388175
90	0.2343199357
91	0.2342768251
92	0.2340853466
93	0.2338985722
94	0.2338909621
95	0.2335928995
96	0.2335282896
97	0.2334730176
98	0.2334525532
99	0.2333552997
100	0.232897913
101	0.2328076067
102	0.2327970564
103	0.2324796569
104	0.2322936776
105	0.2322340049
106	0.2322209967
107	0.2321609451
108	0.2321255711
109	0.2321055792
110	0.2320446105
111	0.2319671485
112	0.2316913722
113	0.2314850842
114	0.2313738019
115	0.2311358195
116	0.2308317432
117	0.2307879413
118	0.2305880411
119	0.2305406749
120	0.2305036439
121	0.2304422188
122	0.2303594433
123	0.2303092092
124	0.2302253728
125	0.2301650287
126	0.230092816
127	0.2299970726
128	0.2298733818
129	0.2298480916
130	0.2298250929
131	0.2297363159
132	0.2296204075
133	0.2295657407
134	0.2295154732
135	0.2294181112
136	0.2291249451
137	0.2290901778
138	0.228985088
139	0.2289480516
140	0.2288053566
141	0.228794092
142	0.228761014
143	0.2287031529
144	0.2286666689
145	0.2286031541
146	0.2285832039
147	0.2284971874
148	0.228363312
149	0.2282843106
150	0.2282752071
151	0.2282279937
152	0.2281976509
153	0.2281670828
154	0.2280004012
155	0.2277973356
156	0.2277382564
157	0.2277180345
158	0.2276943711
159	0.227469953
160	0.2273979038
161	0.2271437621
162	0.22703965
163	0.2270252827
164	0.2270243009
165	0.226941293
166	0.2269367706
167	0.226875198
168	0.2266852474
169	0.2265030367
170	0.2263949203
171	0.2263288096
172	0.2262829105
173	0.2262618824
174	0.2261723022
175	0.2260719289
176	0.2259995852
177	0.225930642
178	0.2258983261
179	0.2258610503
180	0.2257324127
181	0.2256258561
182	0.2255732813
183	0.2255607108
184	0.225460588
185	0.2254208667
186	0.2253053982
187	0.2250215686
188	0.2249322902
189	0.2247156725
190	0.224703973
191	0.2246537515
192	0.2246393233
193	0.2245048697
194	0.2244947169
195	0.2242591084
196	0.224207634
197	0.2240218635
198	0.2238657111
199	0.2236517893
200	0.2235547796
201	0.2233284905
202	0.2229405819
203	0.2227241241
204	0.2227021141
205	0.2224971592
206	0.2223104506
207	0.2222895001
208	0.2221274171
209	0.221951273
210	0.2217506405
211	0.2215471988
212	0.2214305201
213	0.2213563589
214	0.2212911993
215	0.2211669925
216	0.2209604683
217	0.2208928316
218	0.2207646163
219	0.2206467626
220	0.220424673
221	0.2202308959
222	0.2201865677
223	0.2201499281
224	0.2199833895
225	0.2199227213
226	0.2198113946
227	0.2196082207
228	0.2195263633
229	0.219486415
230	0.2194525695
231	0.2194132388
232	0.2193448361
233	0.2191863267
234	0.2191101009
235	0.2190253583
236	0.2185810997
237	0.2183589221
238	0.2181868244
239	0.2180854462
240	0.2180763609
241	0.2180354714
242	0.2180115333
243	0.2180013499
244	0.2179887917
245	0.2179668404
246	0.2177566809
247	0.217651047
248	0.2175531327
249	0.2172427078
250	0.2171657955
251	0.2170773714
252	0.2169141646
253	0.2169095893
254	0.2167839429
255	0.2166415848
256	0.2165650721
257	0.2165032466
258	0.2163955193
259	0.2163637728
260	0.216346804
261	0.2162605367
262	0.2161729022
263	0.2161692374
264	0.2160666354
265	0.2159706175
266	0.2159411246
267	0.215743066
268	0.2156876519
269	0.2155802123
270	0.2155050721
271	0.2154438143
272	0.215280642
273	0.2150050848
274	0.2149729372
275	0.2149110557
276	0.2148316936
277	0.2148124003
278	0.2146438904
279	0.2144962006
280	0.2144818321
281	0.2143993853
282	0.2143145166
283	0.214278583
284	0.2142632362
285	0.2142109
286	0.2141674393
287	0.2141367759
288	0.2141295792
289	0.2140841152
290	0.213999559
291	0.2138460966
292	0.213820253
293	0.2138075314
294	0.2137529167
295	0.2136972502
296	0.2136321162
297	0.2136199676
298	0.2136178614
299	0.2136066376
